46:26.5,-0.048,-0.2,0.011,0.206,7,0x01,1
46:26.6,-0.052,-0.2,0.007,0.2068,7,0x01,1
46:26.7,-0.051,-0.199,0.017,0.2061,7,0x01,1
46:26.8,-0.051,-0.201,0.013,0.2078,7,0x01,1
46:26.9,-0.054,-0.197,0.005,0.2043,7,0x01,1
46:27.0,-0.056,-0.203,0,0.2106,7,0x01,1
46:27.1,-0.051,-0.201,0.001,0.2074,7,0x01,3
46:27.2,-0.06,-0.198,-0.001,0.2069,7,0x01,3
46:27.3,-0.046,-0.208,0.01,0.2133,7,0x01,3
46:27.4,-0.054,-0.209,-0.003,0.2159,7,0x01,3
46:27.5,-0.049,-0.207,0.003,0.2127,7,0x01,3
46:27.6,-0.051,-0.203,0.009,0.2095,7,0x01,3
46:27.7,-0.048,-0.207,0.008,0.2126,7,0x01,3
46:27.8,-0.052,-0.202,0.001,0.2086,7,0x01,3
46:27.9,-0.05,-0.202,0.016,0.2087,7,0x01,3
46:28.0,-0.054,-0.202,0.015,0.2096,7,0x01,3
46:28.1,-0.052,-0.205,0.016,0.2121,7,0x01,1
46:28.2,-0.051,-0.202,0.011,0.2086,7,0x01,1
46:28.3,-0.052,-0.197,0.018,0.2045,7,0x01,1
46:28.4,-0.059,-0.196,-0.001,0.2047,7,0x01,1
46:28.5,-0.055,-0.201,0.001,0.2084,7,0x01,1
46:28.6,-0.058,-0.203,0.001,0.2111,7,0x01,1
46:28.7,-0.06,-0.202,-0.001,0.2107,7,0x01,1
46:28.8,-0.054,-0.206,-0.002,0.213,7,0x01,1
46:28.9,-0.057,-0.206,-0.001,0.2137,7,0x01,1
46:29.0,-0.055,-0.205,0,0.2122,7,0x01,1
46:29.1,-0.062,-0.202,0.007,0.2114,7,0x01,1
46:29.2,-0.057,-0.2,0.006,0.2081,7,0x01,1
46:29.3,-0.062,-0.199,0.005,0.2085,7,0x01,1
46:29.4,-0.058,-0.203,-0.006,0.2112,7,0x01,1
46:29.5,-0.064,-0.204,-0.027,0.2155,7,0x01,1
46:29.6,-0.059,-0.202,-0.019,0.2113,7,0x01,1
46:29.7,-0.057,-0.196,0.007,0.2042,7,0x01,1
46:29.8,-0.058,-0.198,0.007,0.2064,7,0x01,1
46:29.9,-0.051,-0.206,0.012,0.2126,7,0x01,1
46:30.0,-0.053,-0.202,0.013,0.2092,7,0x01,1
46:30.1,-0.055,-0.199,0.021,0.2075,7,0x01,4
46:30.2,-0.053,-0.201,0.017,0.2086,7,0x01,4
46:30.3,-0.058,-0.197,-0.004,0.2054,7,0x01,4
46:30.4,-0.052,-0.202,0.011,0.2089,7,0x01,4
46:30.5,-0.049,-0.2,0.008,0.2061,7,0x01,4
46:30.6,-0.051,-0.199,0.022,0.2066,7,0x01,4
46:30.7,-0.058,-0.197,0.011,0.2057,7,0x01,4
46:30.8,-0.045,-0.201,0.02,0.2069,7,0x01,4
46:30.9,-0.054,-0.197,0.015,0.2048,7,0x01,4
46:31.0,-0.048,-0.196,0.016,0.2024,7,0x01,4
46:31.1,-0.049,-0.2,0.011,0.2062,7,0x01,4
46:31.2,-0.05,-0.203,0.009,0.2093,7,0x01,4
46:31.3,-0.059,-0.196,-0.008,0.2048,7,0x01,4
46:31.4,-0.054,-0.198,0,0.2052,7,0x01,4
46:31.5,-0.05,-0.204,0.012,0.2104,7,0x01,4
46:31.6,-0.053,-0.205,0.009,0.2119,7,0x01,4
46:31.7,-0.052,-0.206,0.009,0.2127,7,0x01,4
46:31.8,-0.056,-0.203,-0.013,0.211,7,0x01,4
46:31.9,-0.059,-0.207,-0.02,0.2162,7,0x01,4
46:32.0,-0.056,-0.203,0.005,0.2106,7,0x01,4
46:32.1,-0.062,-0.201,-0.012,0.2107,7,0x01,2
46:32.2,-0.062,-0.203,-0.009,0.2124,7,0x01,2
46:32.3,-0.063,-0.2,0.007,0.2098,7,0x01,2
46:32.4,-0.059,-0.198,0.005,0.2067,7,0x01,2
46:32.5,-0.06,-0.199,0.001,0.2079,7,0x01,2
46:32.6,-0.06,-0.197,-0.005,0.206,7,0x01,2
46:32.7,-0.058,-0.202,0.002,0.2102,7,0x01,2
46:32.8,-0.06,-0.198,0.003,0.2069,7,0x01,2
46:32.9,-0.057,-0.198,0.016,0.2067,7,0x01,2
46:33.0,-0.053,-0.196,0.024,0.2045,8,0x01,2
46:33.2,-0.064,-0.196,0.007,0.2063,7,0x01,1
46:33.3,-0.062,-0.196,0.01,0.2058,7,0x01,1
46:33.4,-0.057,-0.192,0.02,0.2013,7,0x01,1
46:33.5,-0.06,-0.196,0.007,0.2051,7,0x01,1
46:33.6,-0.054,-0.199,0.023,0.2075,7,0x01,1
46:33.7,-0.065,-0.196,0,0.2065,7,0x01,1
46:33.8,-0.055,-0.202,0.012,0.2097,7,0x01,1
46:33.9,-0.054,-0.199,0,0.2062,7,0x01,1
46:34.0,-0.053,-0.2,0.007,0.207,7,0x01,1
46:34.1,-0.062,-0.201,-0.008,0.2105,7,0x01,1
46:34.2,-0.063,-0.201,-0.012,0.211,7,0x01,1
46:34.3,-0.059,-0.198,-0.011,0.2069,7,0x01,1
